"MaruŽjol, Florence",L' art Žgyptien au Louvre.,===> Solicitar a/por: DEGIP: 1-1-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Drenkhahn, Rosemarie",Elfenbein im Alten Agypten: leihgaben aus dem Petrie-Museum London.,===> Solicitar a/por: DEGIP: 1-1-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suche nach unsterblickeit: totenkult und Jenseitsglaube im Alten Agypten.,"Mainz: Verlag Philipp von Zabern, 1990. 114 p.: ilus.; incl. ref.",===> Solicitar a/por: DEGIP: 1-1-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Maystre, Charles","Tabo I: statue en bronze d'un roi mŽro•tique MusŽe National de Khartoum, Inv. 24705.",===> Solicitar a/por: DEGIP: 1-1-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Gohary, Jocelyn Olive",Akhenaten's Sed - festival at Karnak.,===> Solicitar a/por: DEGIP: 1-1-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bonnet, Charles",Kerma territoire et mŽtropole: quatre lecons au CollŽge de France.,===> Solicitar a/por: DEGIP: 1-1-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Winand, Jean","Le voyage d'Ounamon: index verborum, concordance, relevŽs grammaticaux.",===> Solicitar a/por: DIGEP: 1-1-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Drenkhahn, Rosemarie",Agyptische reliefs im Kestner-Museum Hannover.,===> Solicitar a/por: DEGIP: 1-1-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sancisi-Weerdenburg, Heleen; Drijvers, Jan Willem",Achaemenid history.,===> Solicitar a/por: DEGIP: 1-1-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Gehrig, Ulrich; Niemeyer, Hans Georg",Die Phonizier im Zeiltalter Homers.,===> Solicitar a/por: DEGIP: 1-1-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
