Ubicación física;Título;Autor(es)
DEGIP: 1-2-44;"Thought couplets in The Tale of Sinuhe: verse text and translation; with and essay on the tale as literature";
DEGIP: 1-2-45;<The> production and use of vegetable oils in Ptolemaic Egypt;
DEGIP: 1-2-46;Legitimation und funktion des herrschers: vom ägyptischen Pharao zum neuzeitlichen Diktator;
DEGIP: 1-2-47;"Egyptian historical records of the later Eighteenth Dynasty: fascicle I; from the original hieroglyphic text as published in W.Helck, Urkunden der 18 Dinastie";
DEGIP: 1-2-47d;"Egyptian historical records of the later Eighteenth Dynasty: fascicle IV; translated from W.Helck, Urkunden der 18. Dynastie, Heft 20";
DEGIP: 1-2-48;Lapwings and libyans in ancient Egypt;
DEGIP: 1-2-49;Some indirect sothic and lunar dates from the late Middle Kingdom in Egypt;
DEGIP: 1-2-50;Middle Kingdom studies;
DEGIP: 1-2-51;Proceedings of Colloquium;
DEGIP: 1-2-52;Greece and Egypt in the Archaic Age;
DEGIP: 1-2-53;Archaeological investigations at El-Hibeh 1980: preliminary report;
DEGIP: 1-3-1;Ostraka demotici da Narmutti I: nn. 1-33;
DEGIP: 1-1-3;Mastabas et hypogées d'ancien empire: le probléme de la datation;
DEGIP: 1-3-4;"<The> survey of Memphis; part one: The archaeological report";
DEGIP: 1-3-5a;###############################################################################################################################################################################################################################################################;
DEGIP: 1-3-2;<Le> stele egiziane del Museo Civico Archeologico di Bologna;
DEGIP: 1-3-6;Kamid el-Loz-Kumidi: schriftdokumente aus Kamid el-Loz;
DEGIP: 1-3-7;Die ritualdarstellungen des Ramesseums I;
DIGEP: 1-3-8;Untersuchungem zur Thinitenzeit;
DEGIP: 1-3-9;Alltag im alten Agypten: aus der Agyptensammlung des museums;
"DEGIP: 1-3-10; DEGIP 1-3-10a";Amarna reports;
"DEGIP: 1-3-11; a, c,d,f";Denkmaeler aus Aegypten und Aethiopen;
DEGIP: 1-3-12;<The> great hypostyle hall at Karnak;
DEGIP: 1-3-13;<The> wall decoration of three Theban tombs: TT 77, 175 and 249;
DEGIP: 1-3-13a;Miscellanea hasaitica;
DEGIP: 1-3-13b;<The> heritage of ancient Egypt: studies in honour of Erik Iversen;
DEGIP: 1-3-14a;<The> rock drawings: including the results of the Gordon Memorial College expedition to Abka under the direction of Oliver Myers;
DEGIP: 1-3-14a1;<The> rock drawings: including the results of the Gordon Memorial College expedition to Abka under the direction of Oliver Myers;
DEGIP: 1-3-14c;Neolithic and A-Groups sites;
DEGIP: 1-2-14c1;Neolithic and A-Group sites;
DEGIP: 1-3-14d;Middle Nubian sites;
DEGIP: 1-3-14d1;Middle Nubian sites;
DEGIP: 1-3-14e;New Kingdom pharaonic sites: the pottery;
DEGIP: 1-3-14e1;New Kingdom pharaonic sites: the finds and the sites;
DEGIP: 1-3-14e2;New Kingdom pharaonic sites: the finds and the sites;
DEGIP:  1-3-14f;Late Nubian cemeteries;
DEGIP:  1-3-14g;Late Nubian sites: churches and settlements;
DEGIP: 1-2-14h;Late nubian textiles;
"DEGIP: 1-3-15; 1-3-16";State and temple economy in the Ancient Near East: proceedings of the International Congress;
DEGIP: 1-2-18;<The> Egyptian mummy secrets and science;
DEGIP: 1-3-19 f;Cahiers de Karnak VI 1973-1977;
DEGIP: 1-3-19g;Cahiers de Karnak VIII 1978-1981;
DEGIP: 1-3-19h;Cahiers de Karnak VIII 1982-1985;
DEGIP:  1-3-20;<The> archaeology of Western Iran: settlement and society from prehistory to the islamic conquest;
DEGIP: 1-3-21;<The> civilizational process;
DEGIP: 1-3-23;Die Ramessidische in bautätigkeit in Nubien;
DEGIP: 1-3-22L;Untersuchungen im Totentempel Amenophis' III;
DEGIP: 1-3-22M;Aufsätze zum 70. Geburtstag von Herbert Ricke;
DEGIP: 1-4-1;Der tempel Setho's I. in Gurna: die reliefs und inscriften: band I;
"DEGIP: 1-4-2; 1-4-2a";<The> New-Kingdom temples of Buhen;
DEGIP: 1-4-3f1;<The> cemeteries of Qasr Ibrim: a report of the excavations conducted by W.B. Emery in 1961;
DEGIP: 1-4-3f;<The> sacred animal necropolis at North Saqqara;
DEGIP: 1-4-3f3;<The> Temple furniture from the Sacred Animal Necropolis at North Saqqara, 1964-1976;
DEGIP: 1-4-3f2;<The> Tomb-chapels of Paser and Ra'ia at Saqqara;
DEGIP: 1-4-3e;<The> Tomb of Hetepka and other reliefs and inscriptions from the sacred animal necropolis North Saqqara 1964-1978;
DEGIP: 1-4-e8;<The> fortress of Buhen the inscriptions;
DEGIP: 1-4-3g;Aramaic texts from Norh Saqqara with some fragments in Phoenician;
DEGIP: 1-4-4;Narrative in Egyptian art;
DEGIP: 1-4-5;Mendes II;
DEGIP: 1-4-5a;<The> Island of Meroe;
DEGIP: 1-4-6c1;Five Theban tombs;
DEGIP: 1-4-6cII;Meroitic inscriptions part II: Napata to Philae and miscellaneous;
DEGIP: 2-1-2;Cités disparues;
DEGIP: 2-1-3;<The> boundary stelae of Akhenaten;
DEGIP: 2-1-5;<The> private chapel in ancient Egypt: a study of the chapels in the workmen's villages at el Amarna with special reference to Deir el Medina and other sites;
DEGIP: 2-1-7;<The> emergence of civilization: from hunting and gathering to agriculture, cities, and the state in the Near East ;
DEGIP: 2-4-7;An introduction to ancient Egyptian pottery;
DEGIP: 2-1-12;Kontinuität und Wandel in Politik und Verwaltung des frühen Mittleren Reiches in Agypten;
DEGIP: 2-1-11;Eighteenth dynasty before the Amarna period;
DEGIP: 2-1-9;Zur Königsideologie Amenophis'III;
DEGIP: 2-1-8;Popular religion in Egypt during the New Kingdom;
DEGIP: 2-1-16;Idea into image: essays on Ancient Egyptian thought;
DEGIP: 2-1-15;Symbolika przedstawien wladcy egipskiego w okresie predynastycznym;
DEGIP: 2-1-13;<Les> noms royaux dans l'Egypte de la troisiéme période intermédiaire;
DEGIP: 2-1-17;Munus amicitiae: studia archeologiczne póswiecone pamieci;
DEGIP;<La> vida cotidiana de los dioses egipcios;
DEGIP: 2-1-19;Mitología y religión del Oriente Antiguo I: Egipto-Mesopotamia;
DEGIP;"<L'>Egypte et la Vallée du Nil; vol. 2: De la fin de l'Ancien Empire á la fin du Nouvel Empire ";
DEGIP: 1-4-8d ;"Gerf Hussein: la Grande Salle (E): murs sud, nord et ouest; les niches ";
DEGIP: 1-4-8a;Gerf Hussein: architecture;
DEGIP: 1-4-9g;<Le> Ramesseum: nef centrale de l'hypostyle (N);
DEGIP: 1-4-7a1;<Le> Grand Temple d'Abou-Simbel I, 1: architecture;
DEGIP: 1-4-7C1,2;"Grand Temple d'Abou Simbel III: les Salles du Tresor Sud; fascicules I-II";
DEGIP: 1-4-8c;"Garf Hussein III: la Grande Salle (E) mur est; piliers et colosses";
DEGIP: 1-4-9f1;<Le> trésor de Thoutmosis Ier, la décoration: planches;
DEGIP: 1-4-9F;<Le> trésor de Thoutmosis Ier, la decoration: texte;
DEGIP: 1-4-9e;"<Le> trésor de Thoutmosis Ier: étude architecturale; texte";
DEGIP: 1-4-9e1;"<Le> trésor de Thoutmosis Ier: étude architecturale; planches";
DEGIP: 2-4-10f;Tell El-Dab'a VI;
DEGIP: 2-4-10c;Tell El-Dab'a III;
DEGIP: 2-4-10b1;Tell El-Dab'a II: plan 1-4;
DEGIP: 2-4-10e;Tell El-Dab'a V;
DEGIP: 2-4-10g;Tell El-Dab'a VII;
DEGIP: 2-4-10b;Tell El-Dab'a II;
"DEGIP: 1-4-14a; 1-4-14; 3-3-31";<La> política exterior egipcia en la época de El Amarna;
"DEGIP: 1-4-13; 1-4-13a";<Las> dinastías VII-VIII y el período heracleopolitano en Egipto: problemas de reconstrucción histórica de una época de crisis;
"DEGIP: 1-4-12, 1-4-12a; 3-3-29";<La> realeza egipcia: los fundamentos del poder en el Período Arcaico;
DEGIP: 1-4-11;Life in a multi-cultural society: Egypt from cambyses to Constantine and beyond;
DEGIP: 1-4-15;<A> manual of field excavation: handbook for field archaeologists;
DEGIP: 1-4-18a;Aegeans in the Theban tombs;
DEGIP: 1-4-16;Theben-West (Luqsor);
DEGIP: 1-4-19;Fragments of a shattered visage: the proceedings of the International Symposium of Ramesses the Great;
DEGIP: 1-4-17;Cities of the Delta, part II: preliminary report on the 1979 and 1980 seasons;
DEGIP:  1-4-20;"Cities of the Delta, part III: Tell El Maskhuta; preliminary report on the Wadi Tumilat Project 1978-1979";
DEGIP: 1-4-21;Byblos in the third millennium B.C.;
DEGIP: 1-4-22;<The> Tell El Hesi field manual: the joint archaeological expedition to Tell El-Hesi vol. 1;
DEGIP: 2-4-1;Saï I: la necropole Kerma;
DEGIP:  2-4-2;<The> Egyptian reliefs and stelae in the Pushkin Museum of Fine Arts, Moscow;
DEGIP: 2-4-3;<The> Cypriote Bronze Age pottery found in Egypt;
"DEGIP: 2-4-4; 2-4-5";<Les> archives du temple funéraire de Néferirkaré-Kakai: les papyrus d'Abousir;
DEGIP: 2-4-6;<La> circulation des biens, des personnes et des idées dans le Proche-Orient Ancient;
DEGIP: 2-4-8;Recherches sur l'economie, l'administration et la comptabilité égyptiennes á la XVIII dynastie: d'aprés le papyrus E. 3226 du Louvre;
DEGIP: 2-4-9;Egypt, Canaan, and Israel in ancient times;
DEGIP: 2-4-10;"Ramesside incriptions; translated and anotated: translation I";
DEGIP: 2-4-11;Gottes und Priesterherrschaft in Agypten am Ende des Neuen Reiches: ein religionsgeschichtliches Phänomen und seine sozialen Grundlagen;
DEGIP: 2-2-17;Cities of the Delta, Part 1 Naukratis: preliminary report on the 1977-78 and 1980 seasons;
"DEGIP: 2-2-18; 3-3-30";<La> deificación del rey: el cultode Amenofis I en Deir el-Medina y los antecedentes de la deificación real;
DEGIP: 2-2-4;Textes mathématiques babyloniens;
DEGIP: 2-2-3;<The> Rhind mathematical papyrus: British Museum 10057 and 10058;
DEGIP: 2-2-2;"<The> inscriptions of Sinai: from manuscripts of Alan Gardiner and T. Eric Peet; Part II";
DEGIP: 2-2-1;Tore und andere wiederverwendete bauteile Amenophis'III;
DEGIP: 2-2-6;<A> cemetery of palace attendants: including G 2084-2099, G 2230+2231, and G2240;
DEGIP: 2-2-5;Umm el-Qaab I: das prädynastische Königsgrab U-j und seine frühen Schriftzeugnisse;
DEGIP: 2-2-7;"Mastabas of Cemetery G 6000: including G 6010 (Neferbauptah); G 6020 (Iymery); G 6030 (Ity); G 6040 (Shepseskafankh)";
DEGIP: 2-2-8;<Le> sanctuaire d'Hathor maitresse de la turquoise;
"DEGIP: 2-2-10a; 2-2-10b";House and palace in ancient Egypt;
DEGIP: 2-2-9;Living on the fringe: the archaeology and history of the Negev, Sinai and Neighbouring regions in the Bronce and Iron Ages;
DEGIP: 2-2-11;<L'>Egypte et le monde égéen préhellénique: étude critique des sources égyptinennes du début de la XVIIIe. á la fin de la XIXe. Dynastie;
DEGIP: 2-2-13;Nubie: les cultures antiques du Soudan, á travers les explorations et les fouilles francaises et franco-soudanaises;
DEGIP: 2-2-12;Lexique hiéroglyphique;
DEGIP: 2-2-15;<The> black pharaohs: Egypt's Nubian rulers;
DEGIP: 2-2-14;<A> Ptolemaic lexikon: a lexicographical study of the texts in the Temple of Edfu;
"DEGIP: 2-2-16a; 2-2-16b";Megiddo III:  the 1992-1996 seasons;
DEGIP: 2-2-19;<The> New Kingdom royal city;
DEGIP: 2-2-20;Canaanites: peoples of the past;
DEGIP: 2-2-21;Who were the pharaohs? : a history of their names with a list of cartouches;
DEGIP: 2-2-22;Antiquités égyptiennes;
DEGIP: 2-2-23;Ultimas adquisiciones del Museo Arqueológico Nacional;
DEGIP: 2-2-24;Die Reliefs aus dem Grab des Pyramidenvorstehers Ii-nefret;
DEGIP: 2-2-25;Pottery in archaeology;
DEGIP: 2-2-26;<La> signification astronomique despyramides d'Egypte: l'ordre céleste recréé;
DEGIP: 2-2-27a;Excavaciones en Ehnasya El Medina: Heracleópolis Magna;
