Ubicación física;Título;Autor(es)
DIMED: B219;Genova e la Liguria nel Medioevo;
DIMED: B220;<La> Repubblica di Genova;
DIMED: U2;Novellino e Conti del Duecento;
DIMED: U2;<La> poesia lirica del Duecento;
DIMED: U2;Novelle;
DIMED: U2;Novelle del Quattrocento;
DIMED: U2;Novelle del Cinquecento;
DIMED: U2;Poemetti del Duecento: il Tesoretto, il Fiore, l'Intelligenza;
DIMED: B41;<Les> explorateurs du XIIIe au XVIe siècle: premiers regards sur des mondes nouveaux;
DIMED: B42;Política;
DIMED: A431;<La> mesure du monde;
DIMED:A430;Guía analítica de fuentes existentes en el Instituto de Historia de España Claudio Sánchez Albornoz;
DIMED: A432;<La> vida de los hombres infames: ensayos sobre desviación y dominación;
DIMED:A435;Pouvoirs et sociétés politiques en Péninsule Ibérique XIVe.-XVe. siècles;
DIMED: A434;Origen y fundamentos del poder político;
DIMED: A433;Alla corte du cinque papi: diario 1483-1506;
DIMED: B436;<Le> bûcher de Montségur, 16 mars 1244;
DIMED: B411;Obras completas;
DIMED: B410;<La> Mediterranee: les hommes et l'heritage;
DIMED: B49;L'homme espagnol: attitudes et mentalités du XVIe au XIX siécle;
DIMED:B48;<Le> sexe et l'Occident: évolution des attitudes et des comportements;
DIMED: B47;Estructuras y funciones del discurso: una introducción disciplinaria a la lingüística del texto y a los estudios del discurso;
DIMED: B46;<Les> Carolingiens: una familie qui fit l'Europe;
DIMED:B45;Abélard et Heloise: correspondance;
DIMED: B420;"De la dignidad del hombre; con dos apéndices:  carta a Hermolao Bárbaro y Del ente y el uno";
DIMED: B421;Saga de Egil Skallagrimson;
DIMED: B418;<El> cancionero hispanoárabe;
DIMED: B417;SendebarLibro de los engaños de las mujeres;
DIMED: B416;Historia de los reyes de Britania;
DIMED: B415;Libro de Alexandre;
DIMED:B419;Proverbis de Ramón;
DIMED:B413;Cancionero de Garci Sánchez de Badajoz;
DIMED:B424;<La> mort;
DIMED:B426;<L'> aveu et le pardon: les difficultés de la confession, XIIe-XVIIIe. siècle;
DIMED:B427;Le Coran;
DIMED:B428;<Les> fabliaux;
DIMED:B425;Breve historia del pensamiento antiguo;
DIMED:423;Mito y significado;
DIMED:B433;<La> Chanson de Roland;
DIMED:B434;Contes de la mort des pays de France;
DIMED:B444;<Le> chevalier de la Charrette;
DIMED:B435;<Le> Carnaval de Romans: de la Chandeleur au mercredi des Cendres 1579-1580;
DIMED:B443;<El> conflicto del cristianismo primitivo y de la civilización antigua;
DIMED:B442;Sur le rire et la folie;
DIMED:B436;Fabliaux;
DIMED:B441;Venturas y desventuras del pícaro Abu l-Fath de Alejandría (Maqamat);
DIMED:B439;Tratado del descubrimiento de las Indias y su conquista: transcripción del manuscrito de 1589;
DIMED:B440;Problemas y secretos maravillosos de las Indias;
DIMED:B437;De los tres elementos: tratados sobre la naturaleza y el hombre del nuevo mundo;
DIMED:B438;Cartas de viaje;
DIMED:B514;<Les> voix de la conscience: parole du poéte et parole de Dieu dans la littérature médiévale;
DIMED:B513;<Le> temps, sa mesure et sa perception au Moyen Age: actes du colloque;
DIMED:B512;<Le> corps et ses énigmes au Moyen Age: actes du Colloque;
DIMED:B511;Chronique de la Pucelle attribuée á Guillaume Cousinot;
DIMED:B54;Funus imperatorum: los funerales de los emperadores romanos;
DIMED:B510;Dos crónicas hispanohebreas del siglo XV;
DIMED:B59;Pour en finir avec les mentalités;
DIMED:B519;Storia medievale;
DIMED:B518;Vestitevi di sangue: lettere ai fedeli;
DIMED:B517;<Les> temps dits de transition: 1300 á 1520 environ;
DIMED:B;Fastos;
DIMED:B;;
DIMED:B52;Historia de la vida, invención, milagros y translación de San Segundo, primero Obispo de Avila;
DIMED:B51;Historia de la vida, invención, milagros y translación de San Segundo, primero Obispo de Avila;
DIMED:B53;<L'>Islam et la civilisation islamique, VIIe.-XIIIe. siécle;
DIMED:B515;"Amores; arte de amar; sobre la cosmética del rostro femenino; remedios contra el amor";
DIMED:B520, B521;<Los> nueve libros de la historia;
DIMED:B928;<Lo> imaginario de la muerte en Galicia en los siglos IX al XI;
DIMED:B523;Influences antiques dans l'art du Moyen Age francais;
DIMED:B524;<Los> judíos de Lorca en la Baja Edad Media;
DIMED:B525;<A> vida das mulleres na Galicia medieval, 1100-1500;
DIMED:B526;Fiscalidad y sociedad: los murcianos y el impuesto en la Baja Edad Media;
DIMED:A15;Solitudo carnis: el cuerpo en la Edad Media;
DIMED:A13,A14;Mito y tragedia en la Grecia antigua;
DIMED:A12;Mito y pensamiento en la Grecia antigua;
DIMED:A11;Druidas: tradiciones y dioses de los celtas;
DIMED:A16,A17,A18;Historia de la sexualidad;
DIMED:A128;Del esclavismo al deudalismo en Europa occidental;
DIMED:A19;"Porneia: del dominio del cuerpo a la privación sensorial; del siglo II al siglo IV de la era cristiana";
DIMED:A110;Barbarroja: vida, triunfos e ilusiones de un emperador medieval;
DIMED:A111;<La> sangre: mitos, símbolos y realidades;
DIMED:A118;Magia y maleficio: las brujas y el fanatismo religioso;
DIMED:A140;<La> arqueología del saber;
DIMED:A129;<La> Muerte Negra: desastres naturales y humanos en la Europa Medieval;
DIMED:A137;Genése culturelle de l'Europe;
DIMED:A136;Temps de crises temps d'espoirs: XIVe.-XVe. siécle;
DIMED:A135;<L'>héritage des Charles: de la mort de Charlemagne aux environs de l'an mil;
DIMED:A119;Castillos, señores y campesinos en la Italia medieval;
DIMED:A121 A122;Niveles de vida en la Baja Edad Media: cambios sociales en Inglaterra, c.1200-1520;
DIMED:A113;<El> descubrimiento del mar;
DIMED:A112;Historias y leyendas del Languedoc;
DIMED:A117;<La> historia oral y los historiadores;
DIMED:A120;<La> educación en Europa, 1400-1600;
DIMED:A116;Imperialismo ecológico: la expansión biológica de Europa, 900-1900;
DIMED:A115;<El> tiempo en la historia;
DIMED:A124;<La> revolución del año mil: Lournand, aldea del Maconnais, de la Antigüedad al feudalismo ;
DIMED:A125;Pequeño capitalismo gran capitalismo: Simón Ruiz y sus negocios en Florencia;
DIMED:A126;<La> invención de la Edad Media;
DIMED:A127;<La> formación de una sociedad represora: poder y disidencia en la Europa occidental, 950-1250;
DIMED:A139;Dinero y moneda en la Europa medieval;
DIMED:A130;Conflicto de clases y crisis del feudalismo;
DIMED:A133;<Le> reve cistercien;
DIMED:A134;<El> defensor de la paz;
DIMED:A114;Contra un enemigo mortal e invisible;
DIMED:A132;Fuenteovejuna: la violencia antiseñorial en el siglo XV;
DIMED:A131;<La> Guerra de los Cien Años;
DIMED:A141;<Los> Cátaros: herejía y crisis social;
DIMED:B527;Anales;
DIMED:B528;Libro de Apolonio;
DIMED:B529;Romancero viejo;
DIMED:B547;<La> navigazione di San Brandano;
DIMED:B545;Arte de trovar;
DIMED:B546;<L'>invention de la mythologie;
DIMED:B548;Io, serva e schiava;
DIMED:B53;Canzoni di Crociata;
DIMED:B532;Discurso de la servidumbre voluntaria o el contra uno;
DIMED:B531;Menina y moza;
DIMED:B;Histoire de la France rurale: 1. Des origines á 1340;
DIMED:B534;<La> guerre de cent ans vue par ceux qui l'on vécue;
DIMED:B537;Malthus;
DIMED:B536;<La> propaganda política;
DIMED:B543;Utopías del Renacimiento;
DIMED:B538;Storia dei Longobardi;
DIMED:B544;Des dames de renom;
DIMED:B540;Sperimentazioni del potere nell'alto Medioevo;
DIMED:B539;Clero e guerra nell'alto Medioevo;
DIMED:B541;<La> imagen del Rey: monarquía, realeza y poder ritual en la casa de los Austrias;
DIMED:B445;<Los> vikingos en la historia;
DIMED:B67;<La> mujer y la sexualidad en el antiguo régimen: la perspectiva inquisitorial;
DIMED:B61;<L'>abbandono dei bambini in Europa occidentale;
DIMED:B62;Angleterre romane 1;
DIMED:B63;Roussillon roman;
DIMED:B64;Auvergne romane;
DIMED:B65;Pyrénées romanes;
DIGEO: 1746, 1747;<La> acción de la CAP en el período 1966-1973;
DIMED:B610;<L'> empire du roi: idées et croyances politiques en France XIIIe-XIV siecle;
DIMED:B68;Navigazioni e viaggi: volume terzo;
DIMED:B69;Navigazioni e viaggi: volume quarto;
DIMED:B614;<La> confesión y el perdón;
DIMED:B616;Cataluña y el camino de Santiago;
DIMED:B613;<Il> bosco nel Medioevo;
DIMED:B615;<Le> discours du fou au Moyen Age: XIIe-XIIIe siécles;
DIMED:B611, B612;Sexualidad y saber médico en la Edad Media;
DEGIP:2-4-18;Eastern Mediterranean Cyprus-Dodecanese-Crete: proceedins;
DEGIP:2-4-17;Archaeology in Cyprus, 1960-1985;
DEGIP:2-4-16;Cypriote terracottas;
DEGIP:2-4-15;Deffensive settlements of the Aegean and the Eastern Mediterranean after c. 1200 B.C.;
DEGIP:2-4-14;Cyprus at the close of the late Bronze Age;
DEGIP:2-4-13;<The> problem of unpublished excavations;
DEGIP:2-4-12;Windows onto the Bronze Age: the view from Nicosia;
DEGIP:2-4-20;Cypriot ceramics: reading the prehistoric record;
DEGIP:2-4-22;Ancient Cypriot art in Copenhagen: the collections of the National Museum of Denmark and the Ny Carlsberg Glyptotek;
DEGIP:2-4-21;Ancient Cypriote art in Berlin;
DEGIP:2-4-19;Enkomi et le Bronce récent a Chypre;
DEGIP:2-4-23;Céramiques mycéniennes d'Ougarit;
DEGIP:2-4-24;Proceedings;
DIMED:B621;<La> muerte y la mano derecha;
DIMED:B624;<Le> roman de la rose;
DIMED:B625;<La> saga del Atlántico Norte: establecimiento de los vikingos en Islandia, Groenlandia y América;
DIMED:B620;Gioacchino da Fiore un maestro della civiltá: antologia di testi gioachimiti tradotti e commentati;
DIMED:B622;<A> history of the vikings;
DIMED:B626;Parménides;
DIMED:B623;Diálogos, IV República;
DIMED:B619;Histoire de la sorcellerie en Occident;
DIMED:C12;Antiche universitá d' Europa: storia e personaggi degli atenei nel Medio Evo;
DIMED:C11;<I> mesi di Trento: gli affreschi di torre Aquila e il gotico internazionale;
DIMED:C14;<Le> langage de l'immage au Moyen Age;
DIMED:C16;<Le> livre au Moyen Age;
DIMED:C15;<L'>école d'Avignon;
DIMED:C113;<Les> mots de l'histoire;
DIMED:C111;Guerra e guerrieri nella Toscana medievale;
DIMED:C110;<L'>Etat royal de Louis XI á Henri IV, 1460-1610;
DIMED:C19;<Le> Moyen Age: de Hugues Capet á Jeanne D'Arc, 987-1460;
DIMED:C116;Libro de las maravillas del mundo;
DIMED:C117;Automne et renouveau, 1380-1500: le monde gothique;
DIMED:C115;<Le> roi de France et son royaume autor de l'an mil;
DIMED:C114;<Les> chantiers de la Renaissance;
DIMED:C124;<Il> contratto di Mezzadria nella Toscana medievale. 1 Contado di Siena, sec. XIII-1348;
DIMED:C122, C123;<Gli> annali di Mantova;
DIMED:C119;Histoire des péres et de la paternité;
DIMED:C118;<Les> malheurs des temps: histoire des fléaux et des calamitésen France;
DIMED:D010;Breve historia de la música culta en el Uruguay;
DIMED:D06;Images of the medieval peasant;
DIMED:D09;<The> northern crusades: the Baltic and the catholic frontier, 1100-1525;
DIMED:DO3;Reflexiones críticas sobre el origen del Reino de Asturias;
DIMED:D02;<El> territori de la Catalunya medieval;
DIMED:D07;Sociedade e direito em Portugal na Idade Média;
DIMED:N38;Criminal Churchmen in the age of Edward III : the case of the Bishop Thomas de Lisle;
DIMED:E017;<Los> libros proféticos;
DIMED:H1;Frederick II: a medieval emperor;
DIMED:M3;<La> humanidad prodigiosa: el imaginario antropológico medieval;
DIMED:F2;Islam frente a judaísmo: la polémica de Ibn Hazm de Córdoba;
DIMED:D4;<L'>onction des malades: histoire et théologie;
DIMED:B3;<Les> consilia medicaux;
DIMED:;Kitab wasf al Firdaws: la descripción del paraíso;
DIMED:;<The> medieval cult of saints: formations and transformations;
DIMED:H216;Universidad, cultura y sociedad en la Edad Media;
DIMED:H317;<Las> confesiones;
"DIMED:K11 a K116; K21 a K215";Obras completas;
DIMED:;<L'>image de l'autre: etrangers, minoritaires, marginaux;
DIMED:E229;Necesidad de la utopía;
DIMED:E230;Historia, utopía y ficción de la ciudad de los Césares: metamorfosis de un mito;
DIMED:E135;<Le> livre des malins: séances d'un vagabond de génie;
DIMED:;Futuwah: tratado de caballería sufí;
DIMED: J1;<Le> sang et le ciel: les saintes mystiques dans le monde chrétienne;
DIMED:F2;Odeurs de sainteté: la mythologie chrétienne des aromates;
DIMED:;<L'>ordre des choses: les récits d'origine des animaux et des plantes en Europe;
DIMED:;Bibliographie annuelle de l'histoire de France Année 1984;
DIMED:D3;Diccionari castella catala i catala castella;
DIPA:3-3-43;Paisajes tafonómicos de restos de aves en el Sur de Patagonia continental: aportes para la interpretación de conjuntos avifaunísticos en registros arqueológicos del Holoceno;
DIMED:;Fuero real;
DIMED:;<Las> siete partidas, glosadas por Gregorio López;
DIMED:;Espéculo: edición de Gonzalo Martínez Diez;
DIMED:;Anacephalosis;
DIMED:;De perfectione militaris triunphi: la perfección del triunfo;
DIMED:;Guerra de Granada;
DIMED:1051 a y b/H3;Miscelánea de estudios medievales;
DIMED:;<EL> problema del germanismo en el derecho español, siglos V-XI;
"DIMED: L39, L310; L311";Chancelarias portuguesas D. Duarte;
DIMED:;<La> science des symboles: contribution á l'etude des principes et des méthodes de la symbolique générale;
DIMED:;Diplomatari de Santa María de Poblet;
DIMED:;<La> religiosidad popular;
DIMED:F4;Biblia patrística: index des citations et allusion bibliques dans la littérature patristique;
DIMED:;Biblia patrística. Supplément;
DIMED:;<Le> campagne italiane prima e dopo il mille: una societá in trasformazione;
DIMED:;New history, nouvelle histoire, hacia una nueva historia;
DIMED:;<Le> livre de d'aprés les textes originaux, 1285-1298;
DIMED:;Medioevo, lo spectacolo dei religiosi e dei giullari;
DIMED:;Santi e animali nell'Italia Padana, secoli IV-XII;
DIMED:;Histoire de la langue francaise, 1880-1914;
DIMED:D0;Cancionero;
DIMED:H4;Antología de humanistas españoles;
DIMED:;Itinerario de la virgen Egeria, 381-384;
DIMED:;Floreto de sant Francisco, Sevilla 1492: fontes franciscani y literatura en la penínusla ibérica y el Nuevo Mundo;
DIMED: L312, L313;Derecho romano;
DIMED: H219;<El> libro de la generación del feto, el tratamiento de las mujeres embarazadas y de los recién nacidos: tratado de obstetricia y pediatría del siglo X, de Arib Ibn Sa'id;
DIMED:;<L'>Occident musulman au bas Moyen Age;
DIMED:;Historia de los animales;
DIMED:;Comuni e signorie nell'Italia nordorientale e centrale: Lazio, Umbria e Marche, Lucca;
DIMED:B3;<Les> relevés de feu;
DIMED:E220;<The> crisis in historical materialism: class, politics and culture in marxist theory;
DIMED:;<La> disposición mortis causa en el derecho español de la Alta Edad Media;
DIMED:;<De> <las> librerías;
DIMED:;Vida de santones andaluces: la epístola de la santidad de Ibn'Arabi de Murcia;
DIPA: 4-3-45;<The> settlement of the Americas: a new prehistory;
DIMED:;<El> Islam cristianizado: estudio del sufismo a través de las obras de Abenarabi de Murcia;
DIMED:;Antoine le Grande, pére des moines: sa vie;
DIMED:E217;<The> oldest vocation: christian motherhood in the Middle Ages;
DIMED:N45;Literary language and its public in late latin Antiquity and the Middle Ages;
DIMED:L19;<L'>héritage de la pensée grecque et latine;
DIMED:;<La> noblesse en Occident, Ve.-XVe. siécle;
DIMED:;<La> linguistique fantastique;
DIMED:;Dictionaire des auteurs et des auteurs et des thémes de la philosophie;
DIMED:L226;Hermas: el pastor;
DIMED:L11;<L'>ideologia del potere regio nel Papato altomedievale, secoli VI-VIII;
DIMED:;<Los> imaginarios sociales: memorias y esperanzas colectivas;
DIMED:;<Les> théories de la justice dans l'Antiquité;
DIMED:;Michel Foucault, filósofo;
DIMED:;<Les> langages de l'amour dans la France de Philippe Auguste;
DIMED:;Fools, martyrs, traitors: the story of martyrdom in the Western World;
DIMED:I1;Medioevo italiano e medievistica: note didattiche sulle attuali tendenze della storiografia;
DIMED:;Piemontesi del Quattrocento nel vicino Oriente;
DIMED:;Atti del Congresso;
DIMED:;<Le> miroir, révélations, science-fiction et fallacies;
DIMED:;Crónica del rey Guillermo de Inglaterra: hagiografía política y aventura medievales entre Francia y España;
DIMED:;<The> new knighthood: a history of the order of the Temple;
DIMED:;Dizionario del Medioevo;
DIMED:K521;<L'> incastellamento: actas de la reunión de Girona;
DIMED:E14;Cristianos y musulmanes en la España Medieval: el enemigo en el espejo;
DIMED:;Allegories of history, allegories of love;
DIMED: N22;<Des> écrits pour les rois : en Espagne médiévale, la réflexion politique d'Isidore de Séville aux Rois Catholiques;
DIMED:;<La> función política de los caminos de peregrinación en la Europa medieval: estudio del Camino de Santiago;
DIMED:;Textos de derecho local español en la Baja Edad Media: catálogo de fueros y costums municipales;
DIMED:;"<La> fortaleza medieval: realidad y símbolo; actas de la Asamblea";
DIMED:;<La> historia a debate;
DIMED:;Historia a debate: medieval;
DIMED:;Viva el rey ! : ensaios medievais;
DIMED:;Historia a debate: América Latina;
DIMED:L111;<La> mutation de l'an mil a-t-elle lieu ?: servage et chevalerie dans la France des Xe. et XIe. siecles;
DIMED:;<The> aristocracy in twelfth century León and Castile;
DIMED:;<Il> cristianesimo nelle leggi di Roma imperiale;
DIMED:;<Las> morerías aragonesas durante el reinado de Jaime II: catálogo de la documentación de la Cancillería real, 1291-1310;
DIMED:L56;<Les> justices de l'au-delá : les représentations de l'enfer en France et en Italie, XIIe.-XVe. siécle;
DEGIP: 2-1-28a;Egyptian museum collections around the World;Fuscaldo, Perla
DEGIP: 2-1-28b;Egyptian museum collections around the World;Lupo, SilviaBasílico, Susana
DEGIP: 2-1-28c;Egyptology at the dawn of the twenty fisrt Century: proceedings of the Eight International Congress of Egiptologists;Fuscaldo, PerlaBasílico, SusanaCremonte, B.Lupo, Silvia
DEGIP: 2-1-28d;;Lupo, SilviaBasílico, Susana
DEGIP: 2-1-28e;Arqueología histórica argentina: actas del Primer Congreso Nacional de Arqueología Histórica;Crivelli Montero, Eduardo A.Kohen, ClaudiaChauvin, Adriana
DIPA: 5-3-30;<La> grotte Vaufrey a Cenac et Saint Julien, Dordogne, paleoenvironnements, chronologie et activites humaines;
DIMED:E4;Genova: un impero sul mare;
DIMED:D5;Giotto: la capella degli scrovegni;
DIMED:L48;<La> production du livre universitaire au Moyen Age : exemplar et pecia;
DIMED:E3;Voyages et périples choisis;
DIMED: J413;<La> philosophie politique;
DIMED:H2;Women and politics in ancient Rome;
DIMED:J3;Entre fiction et histoire: troie et Rome au Moyen Age;
DIMED:M5;"Castrum 5: archéologie des espaces agraires méditerranéens au Moyen Age; actas";
DIMED:B3;<Les> questions disputées et les questions quodlibétiques dans les facultés de Théologie, de Droit et de Médecine;
DIMED:E3;<Le> statu de la femme á Byzance, 4e.-7e. siécle;
DIMED:D3;Miracles et mystéres: la littérature religieuse au nord de la France;
DIMED:M5;Histoire de l'enfance en Occident: de l'antiquité au XVIIIe. siécle;
DIMED:E3;Parentesco, poder y mentalidad: la nobleza castellana, siglos XII-XV;
DIMED:H439;<La> chair, le diable et le confesseur;
DIMED:F3;<El> primer arte medieval;
DIMED:E3;Christ's body: identity, culture and society in the late medieval writings;
DIMED:1660/Armario;Libro de los gorriones;
DIMED:G5;"Beda el Venerable: histoire ecclésiastique du peuple anglais; conquete et conversion";
DIMED:L513, L514, L515;Chronique du religieux de Saint Denys contenant le règne de Charles VI de 1380 a 1422;
DIMED:G1;"Bild und kult; eine geschichte des bildes vor dem zeitalter der Knust";
DIMED:D3;<Les> juifs et la politique: enquete sur les élections législatives de 1978 a Toulouse;
DIMED:D4;<La> cittá nella storia d´Europa;
DIMED:H2;E.P.Thompson y la historia: un compromiso ético y político;
DIMED:M3;Gente del siglo XV;
DIMED:G3;<Les> chrétiens d'Allah: l'histoire extraordinaire des renégats, XVIe-XVIIe siécles;
DIMED:D1;<Les> étanges de las dombes au Moyen Age, XIIIe-XVe siécles: approche ethnohistorique d'un systeme agro-psicicole;
DIMED:I3;Renaissance and renewal in the twelfth century;
DIMED:D1;<El> panóptico: el ojo el poder, Benham en España;
DIMED:H4;<La> justice royale et le parlement de Paris, XIVe-XVIIe siécle;
DIMED:I2;<La> peste nera e la fine del Medioevo;
DIMED:F1;Voluntate dei leprosus: les lépreux entre conversion et exclusion aux XIIeme et XIIIeme siécles;
DIMED:E140;Moines et religieux au Moyen Age;
DIMED:G1;Identifier sources et citations;
DIMED:L414;<La> formación de la tradición jurídica en Occidente;
DIMED:K33 a K37;Obras completas;
DIMED:E4;<Il> corpo del re: sacralitá del potere nell'Europa medievale e moderna;
DIMED:D3;Fams i epidémies al camp navarrés als segles XIV y XV;
DIMED:L44;Endettement paysan et crédit rural dans l'Europe médievale et moderne : actes des XVIIe Journées Internationales d'Histoire de l'Abbaye de Flaran;
DIMED:G3;Metafísica, lógica y lenguaje en la filosofía medieval;
DIMED:E1;<L'>art du XVe siécle des Parler a Durer;
DIMED: I5;Heresy and literacy, 1000-1530;
DIMED:D423;Diccionario paremiológico e ideológico de la Edad Media, Castilla, siglo XIII;
DIMED: F3;Political thought in Europe, 1250-1450;
DIMED:M3;<The> case for women in Medieval culture;
DIMED:J3;Représentation, pouvoir et royauté a la fin du Moyen Age;
DIMED:H3;<Les> hérésies médiévales face á l'Inquisition;
DIMED:F2;Ecrire la société féodale: lettres a Henri Berr;
DIMED:J1;<Los> reyes taumaturgos;
DIMED:J4;Apologie pour l'histoire ou métier de l'historien;
DIMED:L2;Historia de la teoría literaria, 2: transmisores, Edad Media, poéticas clasicistas;
DIMED:E4;<Des> cleres et noble femmes;
DIMED:I5;Literatura latina de la Edad Media en España;
DIMED:J2;Aristote, la justice et la cité;
DIMED:H2;Consolation de la philosophie;
DIMED:M219;<La> santità;
DIMED:M3;Our une histoire de l´imaginaire;
DIMED:N39;Naissance d'une identité portugaise : la vie rurale entre Tage et Guadiana de l'Islam á la Reconquête, Xe-XIVe siécles;
DIMED:M1;Alessandro nel Medioevo occidentale;
DIMED:H4;<La> ciudad medieval: aspectos de la vida urbana en la Castilla bajomedieval;
DIMED:G3;<La> Catalogne au tournant de l'an mil: croissance et mutations d'une societé;
DIMED:M1;Chroniques asturiennes: fin IX siécle;
DIMED:M3;<L'>uomo del banco dei pegni: Lombardi e mercado del denaro nell'Europa medievale;
DIMED:E5;Mistiche e devote nell'Italia tardomedievale;
DIMED:H2;Women and religion in Medieval and Renaissance Italy;
DIMED:D3;<La> Serna: ocupación, organización y explotación del espacio en la Edad Media, 800-1250;
DIMED:D3;<El> camino de Santiago;
DIMED:F5;<Le> rire au Moyen Age: actes du colloque international des 17, 18 et 19 novembre 1988;
DIMED:C1;<Les> mots de l'histoire;
DIMED:178/Bajo lectora;Recueil des historiens des Gaules et de la France: rerum Gallicarum et Franciscarum scriptores;
DIMED:G3;<Les> écoles historiques;
DIMED:I2;Villes, bonnes villes, cités et capitales: etudes d´histoire urbaine, XIIe-XVIIIe siécle;
DIMED:M1;<Les> feodalités;
DIMED:G1;Passés recomposés: champs et chantiers de l´histoire;
DIMED:D1;<La> royauté sacrée dans le monde chrétien;
DIMED:E5;<Le> simple corps du roi: l'impossible sacralité des souverains francais, XVe.-XVIIIe. siécle;
DIMED:G1;<L'> evénement sans fin: recit et christianisme au Moyen Age;
DIMED:A138;Nouvelle histoire de la France médiévale, 4: Temps d'equilibres, temps de ruptures, XIIIe siécle;
DIMED:M1;"<L'> écrit dans la societé médiévale; divers aspects de sa pratique du XIe siécle";
DIMED:F2;<Le> sel de l'Atlantique: le secrets de l'or blanc;
DIMED:F2;<L'> explication en histoire;
DIMED:B3;<La> poésie scladique;
DIMED:D4;<La> mort chez les anciens scandinaves;
DIMED:N512;Facing history : a different Thomas Aquinas;
DIMED:E221;<Le> livre secret des cathares: interrogatio Iohannis, aprocryphe d'origine bogomile;
DIMED:D2;<Pour> <une> histoire du livre manuscrit au Moyen Age: trois essais de codicologie quantitative;
DIMED:H4;Dialogus contra avaritiam: de avaritia;
DIMED:N317;<De> infelicitate principum;
DIMED:I4;<The> theatre in the Middle Ages;
DIMED:I4;Death in the Middle Ages;
DIMED:E218;Mercanti scrittori: ricordi nella Firenze tra Medioevo e Rinascimento;
DIMED:J1;<L'> heritage de la pensée grecque et latine;
DIMED:G3;<Le> football florentin: le jeux et le pouvoir a la Renaissance;
DIMED:B3;<L'> exemplum;
DIMED:D2;Gli umiliati a Bergamo nei secoli XIII e XIV;
DIMED:C1;<Le> universitá dell'Europa dal Rinascimento alle Riforme religiose;
DIMED:G528;<The> medieval idea of mariage;
DIMED:F1;Mythologie des arbres;
DIMED:;Afectos vergonzosos, Sor Benedetta, entre santa y lesbiana;
DIMED:I1;Society and the Holy in late antiquity;
DIMED:I1;<The> body and society: men, women and sexual renunciation in early christianity;
DIMED:I1;Agustine of Hippo;
DIMED:I1;<The> making of Late antiquity;
"DIMED:I1; CAEBIZ P516";Authority and the sacred: aspects of the christianisation of the Roman World;
DIMED:I5;<L'> essor du christianisme occidental: triomphe et diversité, 200-1000;
DIMED:L123;Pouvoir et persuasion dans l'Antiquité tardive: vers un empire chrétien;
DIMED:M3;Diccionario de la Biblia: guía básica sobre los temas, personajes y lugares bíblicos;
DIMED:F2;Sage et sagesse au Moyen Age: XIIe et XIIIe siécles: etudes historiques, semantique et stylistique;
DIMED:F5;<The> humanism;
DIMED:A225;Giovanni y Lussana: amor y matrimonio en el Renacimiento;
DIMED:L516;Dictionnaire des auteurs grecs et latins de l'Antiquité et du Moyen Age;
DIMED:H3;Pasiones, júbilos y lamentos en la Edad Media;
DIMED:L43;<L'> Etat ou le roi : les fondations de la modernité monarchique en France, XIVe-XVIIe siécles;
DIMED:E3;Suger, Abbé de Saint Denis, régent de France;
DIMED:H3;<The> spirit of the court: selected proceedings;
DIMED:H3;Diccionario de ciencias históricas;
DIMED:C1;Historia de la familia;
DIMED:F4;<La> revolución historiográfica francesa: la escuela de los Annale;
DIMED:H4;Hablar y callar: funciones sociales del lenguaje a través de la historia;
DIMED:L53;Histoire de la pensée politique médiévale, 350-1450;
DIMED:G5;Bibliotheca Aelrediana Secunda: une bibliographie cumulative 1962-1996;
DIMED:H1;<The> word in the desert: scripture and the quest for holiness in early christian monasticism;
DIMED:I1;History of Later Roman Empire from the death of Theodosius I to the death to Justinian;
DIMED:M2;20<=venti> parole per entrare nel Medioevo;
DIMED:G5;Vidal mayor;
DIMED:G1;<Les> cagots: une race maudite dans le sud de la Gascogne: peut-on dire aujord'hui que leur origine est une enigme ?;
DIMED:E5;Histoire de la messe des origines á nos jours;
DIMED:D3;Meanings of sex difference in the Middle Ages: medicine, science and culture;
DIMED:E142;Introduction á l'historiographie;
DIMED:N316;<El> tuzaní de la Alpujarra o amar después de la muerte;
DIMED:B3;Ars dictaminis, ars dictandi;
DIMED:E5;<Les> conciles oecuméniques I. Le premier millénaire;
DIMED:I5;Image on the Edge: the margins of the Medieval Art;
DIMED:M3;Nobili e re: l'Italia politica dell'Alto Medioevo;
DIMED:D2;Vaghe eufonie: temi borgesiano nella cultura contemporanea;
DIMED:D2;<La> scrittura e la memoria;
DIMED:K4;<La> doncella de Francia: la historia castellana de Juana de Arco;
DIMED:D4;Guida ai viagi nell'Europa del 1492;
DIMED:F5;Storia di una grande paura: la sodomia a Firenze e a Venezia nel Quattrocento;
DIMED:I3;I re nudi: congiure, assassini, tracoli ed altri imprevisti nella storia del potere: atti del convegno di studi della Fondazione Ezio Franscechini, Certoza del Galluzzo, 19 novembre 1994;
DIMED:F1;Medioevo ereticale;
DIMED:D3;<La> concezione della povertá nel Medioevo;
DIMED:B2;Comuni e signorie: istituzioni, societá e lotte per l´egemonia;
DIMED:N315;<La> monarchia meridionale: istituzioni e dottrina dai Normanni ai Borboni;
DIMED:L31;Tesoros medievales del Museo Nacional d'Art de Catalunya;
DIMED:H4;<Il> pellegrinaggio: una dimensione della vita medievale;
DIMED:K5;<L'>acciar de cavalieri: studi sulla cavalleria del mondo toscano e italico, secc. XII-XV;
